===================== processing the file nott_2.txt =======================
** [[dS sm16469518 sm116816367]
    [dS os1000023066584 os1000023066628]
    [S os1000023066584 os1000023066628]
    [dS os1000023066584 os1000023066627]
    [S os1000023066584 os1000023066627]
    [dS os1000023066584 os1000023066626]
    [S os1000023066584 os1000023066626]
    [dS os1000023066584 os1000023066625]
    [S os1000023066584 os1000023066625]
    [dS os1000023066584 os1000023066624]
    [S os1000023066584 os1000023066624]
    [dS os1000023066584 os1000023066623]
    [S os1000023066584 os1000023066623]
    [dN os1000023066584 os1000023066986]
    [N os1000023066584 os1000023066986]
    [dS os1000023066584 os1000023066589]
    [S os1000023066584 os1000023066589]
    [dS os1000023066584 os1000023066622]
    [S os1000023066584 os1000023066622]
    [dS os1000023066584 os1000023066621]
    [S os1000023066584 os1000023066621]
    [dS os1000023066584 os1000023066588]
    [S os1000023066584 os1000023066588]
    [dS os1000023066584 os1000023066620]
    [S os1000023066584 os1000023066620]
    [dS os1000023066584 os1000023066587]
    [S os1000023066584 os1000023066587]
    [dS os1000023066584 os1000023066586]
    [S os1000023066584 os1000023066586]
    [dS os1000023066584 os1000002080300709]
    [S os1000023066584 os1000002080300709]
    [dS os1000023066583 os1000023066595]
    [S os1000023066583 os1000023066595]
    [dS os1000023066583 os1000023066593]
    [S os1000023066583 os1000023066593]
    [dS os1000023066583 os1000023067000]
    [S os1000023066583 os1000023067000]
    [dS os1000023066583 os1000023066591]
    [S os1000023066583 os1000023066591]
    [Ins os1000023066583 os1000023066629]
    [nNS os1000023066583 os1000023066629]
    [Ins os1000023066583 os1000023066628]
    [S os1000023066583 os1000023066628]
    [dS os1000023066583 os1000023066627]
    [S os1000023066583 os1000023066627]
    [dS os1000023066583 os1000023066626]
    [S os1000023066583 os1000023066626]
    [dS os1000023066583 os1000023066625]
    [S os1000023066583 os1000023066625]
    [dS os1000023066583 os1000023066624]
    [S os1000023066583 os1000023066624]
    [dS os1000023066583 os1000023066623]
    [S os1000023066583 os1000023066623]
    [dN os1000023066583 os1000023066986]
    [N os1000023066583 os1000023066986]
    [dS os1000023066583 os1000023066589]
    [S os1000023066583 os1000023066589]
    [dS os1000023066583 os1000023066622]
    [S os1000023066583 os1000023066622]
    [dS os1000023066583 os1000023066621]
    [S os1000023066583 os1000023066621]
    [dS os1000023066583 os1000023066588]
    [S os1000023066583 os1000023066588]
    [dS os1000023066583 os1000023066620]
    [S os1000023066583 os1000023066620]
    [dS os1000023066583 os1000023066587]
    [S os1000023066583 os1000023066587]
    [Ins os1000023066583 os1000023066586]
    [S os1000023066583 os1000023066586]
    [dS os1000023066583 os1000002080300709]
    [S os1000023066583 os1000002080300709]
    [Ins os1000023066583 os1000023066584]
    [N os1000023066583 os1000023066584]
    [dS os1000023066582 os1000023066595]
    [S os1000023066582 os1000023066595]
    [dS os1000023066582 os1000023066593]
    [S os1000023066582 os1000023066593]
    [dS os1000023066582 os1000023067000]
    [S os1000023066582 os1000023067000]
    [dS os1000023066582 os1000023066591]
    [S os1000023066582 os1000023066591]
    [Ins os1000023066582 os1000023066629]
    [S os1000023066582 os1000023066629]
    [dS os1000023066582 os1000023066628]
    [S os1000023066582 os1000023066628]
    [dS os1000023066582 os1000023066627]
    [S os1000023066582 os1000023066627]
    [dS os1000023066582 os1000023066626]
    [S os1000023066582 os1000023066626]
    [dS os1000023066582 os1000023066625]
    [S os1000023066582 os1000023066625]
    [dS os1000023066582 os1000023066624]
    [S os1000023066582 os1000023066624]
    [dS os1000023066582 os1000023066623]
    [S os1000023066582 os1000023066623]
    [dN os1000023066582 os1000023066986]
    [N os1000023066582 os1000023066986]
    [dS os1000023066582 os1000023066589]
    [S os1000023066582 os1000023066589]
    [dS os1000023066582 os1000023066622]
    [S os1000023066582 os1000023066622]
    [dS os1000023066582 os1000023066621]
    [S os1000023066582 os1000023066621]
    [dS os1000023066582 os1000023066588]
    [S os1000023066582 os1000023066588]
    [dS os1000023066582 os1000023066620]
    [S os1000023066582 os1000023066620]
    [dS os1000023066582 os1000023066587]
    [S os1000023066582 os1000023066587]
    [Ins os1000023066582 os1000023066586]
    [S os1000023066582 os1000023066586]
    [dS os1000023066582 os1000002080300709]
    [S os1000023066582 os1000002080300709]
    [Ins os1000023066582 os1000023066584]
    [N os1000023066582 os1000023066584]
    [Ins os1000023066582 os1000023066583]
    [nNS os1000023066582 os1000023066583]
    [dS os1000023066581 os1000023066595]
    [S os1000023066581 os1000023066595]
    [dS os1000023066581 os1000023066593]
    [S os1000023066581 os1000023066593]
    [dS os1000023066581 os1000023067000]
    [S os1000023066581 os1000023067000]
    [dS os1000023066581 os1000023066591]
    [S os1000023066581 os1000023066591]
    [Ins os1000023066581 os1000023066629]
    [nNS os1000023066581 os1000023066629]
    [Ins os1000023066581 os1000023066628]
    [nNS os1000023066581 os1000023066628]
    [Ins os1000023066581 os1000023066627]
    [S os1000023066581 os1000023066627]
    [Ins os1000023066581 os1000023066626]
    [S os1000023066581 os1000023066626]
    [Ins os1000023066581 os1000023066625]
    [S os1000023066581 os1000023066625]
    [Ins os1000023066581 os1000023066624]
    [S os1000023066581 os1000023066624]
    [dS os1000023066581 os1000023066623]
    [S os1000023066581 os1000023066623]
    [dN os1000023066581 os1000023066986]
    [N os1000023066581 os1000023066986]
    [dS os1000023066581 os1000023066589]
    [S os1000023066581 os1000023066589]
    [dS os1000023066581 os1000023066622]
    [S os1000023066581 os1000023066622]
    [dS os1000023066581 os1000023066621]
    [S os1000023066581 os1000023066621]
    [dS os1000023066581 os1000023066588]
    [S os1000023066581 os1000023066588]
    [dS os1000023066581 os1000023066620]
    [S os1000023066581 os1000023066620]
    [Ins os1000023066581 os1000023066587]
    [S os1000023066581 os1000023066587]
    [Ins os1000023066581 os1000023066586]
    [nNS os1000023066581 os1000023066586]
    [dS os1000023066581 os1000002080300709]
    [S os1000023066581 os1000002080300709]
    [dN os1000023066581 os1000023066584]
    [N os1000023066581 os1000023066584]
    [Ins os1000023066581 os1000023066583]
    [nNS os1000023066581 os1000023066583]
    [Ins os1000023066581 os1000023066582]
    [N os1000023066581 os1000023066582]
    [dS os1000023066580 os1000023066595]
    [S os1000023066580 os1000023066595]
    [dS os1000023066580 os1000023066593]
    [S os1000023066580 os1000023066593]
    [dS os1000023066580 os1000023067000]
    [S os1000023066580 os1000023067000]
    [dS os1000023066580 os1000023066591]
    [S os1000023066580 os1000023066591]
    [Ins os1000023066580 os1000023066629]
    [nNS os1000023066580 os1000023066629]
    [Ins os1000023066580 os1000023066628]
    [S os1000023066580 os1000023066628]
    [Ins os1000023066580 os1000023066627]
    [S os1000023066580 os1000023066627]
    [Ins os1000023066580 os1000023066626]
    [S os1000023066580 os1000023066626]
    [dS os1000023066580 os1000023066625]
    [S os1000023066580 os1000023066625]
    [dS os1000023066580 os1000023066624]
    [S os1000023066580 os1000023066624]
    [dS os1000023066580 os1000023066623]
    [S os1000023066580 os1000023066623]
    [dN os1000023066580 os1000023066986]
    [N os1000023066580 os1000023066986]
    [dS os1000023066580 os1000023066589]
    [S os1000023066580 os1000023066589]
    [dS os1000023066580 os1000023066622]
    [S os1000023066580 os1000023066622]
    [dS os1000023066580 os1000023066621]
    [S os1000023066580 os1000023066621]
    [dS os1000023066580 os1000023066588]
    [S os1000023066580 os1000023066588]
    [dS os1000023066580 os1000023066620]
    [S os1000023066580 os1000023066620]
    [dS os1000023066580 os1000023066587]
    [S os1000023066580 os1000023066587]
    [Ins os1000023066580 os1000023066586]
    [S os1000023066580 os1000023066586]
    [dS os1000023066580 os1000002080300709]
    [S os1000023066580 os1000002080300709]
    [dN os1000023066580 os1000023066584]
    [N os1000023066580 os1000023066584]
    [Ins os1000023066580 os1000023066583]
    [nNS os1000023066580 os1000023066583]
    [Ins os1000023066580 os1000023066582]
    [nNS os1000023066580 os1000023066582]
    [Ins os1000023066580 os1000023066581]
    [nNS os1000023066580 os1000023066581]
    [dN os1000002080301321 os1000023066595]
    [N os1000002080301321 os1000023066595]
    [dN os1000002080301321 os1000023066593]
    [N os1000002080301321 os1000023066593]
    [dN os1000002080301321 os1000023067000]
    [N os1000002080301321 os1000023067000]
    [dN os1000002080301321 os1000023066591]
    [N os1000002080301321 os1000023066591]
    [dN os1000002080301321 os1000023066629]
    [N os1000002080301321 os1000023066629]
    [dN os1000002080301321 os1000023066628]
    [N os1000002080301321 os1000023066628]
    [dN os1000002080301321 os1000023066627]
    [N os1000002080301321 os1000023066627]
    [dN os1000002080301321 os1000023066626]
    [N os1000002080301321 os1000023066626]
    [dN os1000002080301321 os1000023066625]
    [N os1000002080301321 os1000023066625]
    [dN os1000002080301321 os1000023066624]
    [N os1000002080301321 os1000023066624]
    [dN os1000002080301321 os1000023066623]
    [N os1000002080301321 os1000023066623]
    [dN os1000002080301321 os1000023066986]
    [N os1000002080301321 os1000023066986]
    [dN os1000002080301321 os1000023066589]
    [N os1000002080301321 os1000023066589]
    [dN os1000002080301321 os1000023066622]
    [N os1000002080301321 os1000023066622]
    [dN os1000002080301321 os1000023066621]
    [N os1000002080301321 os1000023066621]
    [dN os1000002080301321 os1000023066588]
    [N os1000002080301321 os1000023066588]
    [dN os1000002080301321 os1000023066620]
    [N os1000002080301321 os1000023066620]
    [dN os1000002080301321 os1000023066587]
    [N os1000002080301321 os1000023066587]
    [dN os1000002080301321 os1000023066586]
    [N os1000002080301321 os1000023066586]
    [dN os1000002080301321 os1000002080300709]
    [N os1000002080301321 os1000002080300709]
    [dN os1000002080301321 os1000023066584]
    [N os1000002080301321 os1000023066584]
    [dN os1000002080301321 os1000023066583]
    [N os1000002080301321 os1000023066583]
    [dN os1000002080301321 os1000023066582]
    [N os1000002080301321 os1000023066582]
    [dN os1000002080301321 os1000023066581]
    [N os1000002080301321 os1000023066581]
    [dN os1000002080301321 os1000023066580]
    [N os1000002080301321 os1000023066580]
    [dN os1000002080300674 os1000023066595]
    [N os1000002080300674 os1000023066595]
    [dN os1000002080300674 os1000023066593]
    [N os1000002080300674 os1000023066593]
    [Ins os1000002080300674 os1000023067000]
    [nNS os1000002080300674 os1000023067000]
    [Ins os1000002080300674 os1000023066591]
    [N os1000002080300674 os1000023066591]
    [dN os1000002080300674 os1000023066629]
    [N os1000002080300674 os1000023066629]
    [dN os1000002080300674 os1000023066628]
    [N os1000002080300674 os1000023066628]
    [dN os1000002080300674 os1000023066627]
    [N os1000002080300674 os1000023066627]
    [dN os1000002080300674 os1000023066626]
    [N os1000002080300674 os1000023066626]
    [dN os1000002080300674 os1000023066625]
    [N os1000002080300674 os1000023066625]
    [dN os1000002080300674 os1000023066624]
    [N os1000002080300674 os1000023066624]
    [dN os1000002080300674 os1000023066623]
    [N os1000002080300674 os1000023066623]
    [dN os1000002080300674 os1000023066986]
    [N os1000002080300674 os1000023066986]
    [dN os1000002080300674 os1000023066589]
    [N os1000002080300674 os1000023066589]
    [dN os1000002080300674 os1000023066622]
    [N os1000002080300674 os1000023066622]
    [dN os1000002080300674 os1000023066621]
    [N os1000002080300674 os1000023066621]
    [dN os1000002080300674 os1000023066588]
    [N os1000002080300674 os1000023066588]
    [dN os1000002080300674 os1000023066620]
    [N os1000002080300674 os1000023066620]
    [dN os1000002080300674 os1000023066587]
    [N os1000002080300674 os1000023066587]
    [dN os1000002080300674 os1000023066586]
    [N os1000002080300674 os1000023066586]
    [Ins os1000002080300674 os1000002080300709]
    [nNS os1000002080300674 os1000002080300709]
    [dN os1000002080300674 os1000023066584]
    [N os1000002080300674 os1000023066584]
    [dN os1000002080300674 os1000023066583]
    [N os1000002080300674 os1000023066583]
    [dN os1000002080300674 os1000023066582]
    [N os1000002080300674 os1000023066582]
    [dN os1000002080300674 os1000023066581]
    [N os1000002080300674 os1000023066581]
    [dN os1000002080300674 os1000023066580]
    [N os1000002080300674 os1000023066580]
    [dS os1000002080300674 os1000002080301321]
    [S os1000002080300674 os1000002080301321]
    [Ins os1000023066619 os1000023066595]
    [nNS os1000023066619 os1000023066595]
    [Ins os1000023066619 os1000023066593]
    [nNS os1000023066619 os1000023066593]
